Date & Time,Asset,Direction,Exit Signal,Raw Trade P&L (%),Scaled Portfolio P&L (%),Compounded Equity ($),High Water Mark ($),Drawdown (%)
2024-09-06 16:00:00,BNB,Short,💰 TP,5.05%,1.454%,102178.95,106886.86,-4.40%
2024-09-06 16:00:00,LTC,Short,🛑 SL,-0.53%,-0.153%,102023.03,106886.86,-4.55%
2024-09-06 16:00:00,ADA,Short,🛑 SL,-0.71%,-0.204%,101814.49,106886.86,-4.75%
2024-09-06 20:00:00,ALGO,Short,Exit Short (Green),-0.30%,-0.086%,101726.55,106886.86,-4.83%
2024-09-06 20:00:00,BONK,Short,Exit Short (Green),-1.28%,-0.369%,101351.68,106886.86,-5.18%
2024-09-06 20:00:00,DOGE,Short,Exit Short (Green),-0.77%,-0.222%,101127.0,106886.86,-5.39%
2024-09-08 16:00:00,LTC,Short,Exit Short (Green),0.77%,0.222%,101351.18,106886.86,-5.18%
2024-09-10 04:00:00,LTC,Short,Exit Short (Green),0.07%,0.020%,101371.6,106886.86,-5.16%
2024-09-11 00:00:00,ADA,Short,🛑 SL,-0.65%,-0.187%,101181.9,106886.86,-5.34%
2024-09-11 08:00:00,ADA,Short,🛑 SL,-0.65%,-0.187%,100992.56,106886.86,-5.51%
2024-09-11 12:00:00,ADA,Short,🛑 SL,-0.65%,-0.187%,100803.56,106886.86,-5.69%
2024-09-16 04:00:00,BONK,Short,Exit Short (Green),0.72%,0.207%,101012.52,106886.86,-5.50%
2024-09-16 04:00:00,SUI,Short,Exit Short (Green),2.67%,0.769%,101788.99,106886.86,-4.77%
2024-09-16 04:00:00,ADA,Short,Exit Short (Green),0.27%,0.078%,101868.12,106886.86,-4.70%
2024-09-17 20:00:00,BONK,Short,Exit Short (Green),1.14%,0.328%,102202.45,106886.86,-4.38%
2024-09-18 12:00:00,ALGO,Short,🛑 SL,-0.66%,-0.190%,102008.26,106886.86,-4.56%
2024-09-18 12:00:00,BONK,Short,🛑 SL,-1.45%,-0.417%,101582.42,106886.86,-4.96%
2024-09-22 20:00:00,BONK,Short,🛑 SL,-1.25%,-0.360%,101216.85,106886.86,-5.30%
2024-09-23 12:00:00,BONK,Short,Exit Short (Green),0.46%,0.132%,101350.89,106886.86,-5.18%
2024-10-01 00:00:00,BTC,Long,Exit Signal,-0.54%,-0.162%,101186.7,106886.86,-5.33%
2024-10-01 12:00:00,ALGO,Short,🛑 SL,-0.66%,-0.190%,100994.44,106886.86,-5.51%
2024-10-02 12:00:00,BNB,Short,🛑 SL,-0.46%,-0.132%,100860.68,106886.86,-5.64%
2024-10-02 12:00:00,DOGE,Short,🛑 SL,-0.72%,-0.207%,100651.61,106886.86,-5.83%
2024-10-02 16:00:00,ALGO,Short,🛑 SL,-0.64%,-0.184%,100466.16,106886.86,-6.01%
2024-10-02 16:00:00,ADA,Short,🛑 SL,-0.62%,-0.178%,100286.83,106886.86,-6.17%
2024-10-02 20:00:00,ADA,Short,🛑 SL,-0.63%,-0.181%,100104.93,106886.86,-6.34%
2024-10-02 20:00:00,SUI,Short,Exit Short (Green),0.39%,0.112%,100217.33,106886.86,-6.24%
2024-10-03 04:00:00,DOGE,Short,🛑 SL,-0.71%,-0.204%,100012.47,106886.86,-6.43%
2024-10-03 04:00:00,ALGO,Short,🛑 SL,-0.64%,-0.184%,99828.19,106886.86,-6.60%
2024-10-03 04:00:00,LTC,Short,🛑 SL,-0.52%,-0.150%,99678.74,106886.86,-6.74%
2024-10-03 08:00:00,LTC,Short,🛑 SL,-0.52%,-0.150%,99529.52,106886.86,-6.88%
2024-10-03 08:00:00,BNB,Short,🛑 SL,-0.46%,-0.132%,99397.71,106886.86,-7.01%
2024-10-03 08:00:00,DOGE,Short,🛑 SL,-0.71%,-0.204%,99194.53,106886.86,-7.20%
2024-10-03 12:00:00,ALGO,Short,🛑 SL,-0.64%,-0.184%,99011.76,106886.86,-7.37%
2024-10-03 12:00:00,DOGE,Short,🛑 SL,-0.71%,-0.204%,98809.37,106886.86,-7.56%
2024-10-03 16:00:00,ADA,Short,Exit Short (Green),0.00%,0.000%,98809.37,106886.86,-7.56%
2024-10-03 16:00:00,ALGO,Short,🛑 SL,-0.64%,-0.184%,98627.31,106886.86,-7.73%
2024-10-03 16:00:00,SUI,Short,Exit Short (Green),0.33%,0.095%,98721.01,106886.86,-7.64%
2024-10-08 08:00:00,ALGO,Short,Exit Short (Green),-0.27%,-0.078%,98644.27,106886.86,-7.71%
2024-10-08 16:00:00,SUI,Short,Exit Short (Green),0.23%,0.066%,98709.59,106886.86,-7.65%
